DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,EU27_2007,2018,6.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,EU27_2020,2018,6.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,EU27_2020,2020,6.9,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,EU27_2020,2022,6.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,EU28,2018,6.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FI,2018,10.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FI,2020,10.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FI,2022,8.9,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FR,2018,7.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FR,2020,8.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,FR,2022,7.3,b
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,HR,2020,7.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,HR,2022,4.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,HU,2018,3.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,HU,2020,4.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,HU,2022,3.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,IE,2020,1.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,IE,2022,3.5,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,IT,2018,8.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,IT,2020,8.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,IT,2022,8.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LT,2018,3.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LT,2020,4.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LT,2022,4.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LU,2020,5.5,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LU,2022,4.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LV,2020,3.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,LV,2022,5.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,ME,2020,1.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,ME,2022,3.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,MK,2020,8.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,MT,2018,4.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,MT,2020,6.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,MT,2022,7.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NL,2018,7.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NL,2020,6.9,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NL,2022,6.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NO,2018,3.9,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NO,2020,5.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,NO,2022,3.9,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PL,2018,6.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PL,2020,7.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PL,2022,4.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PT,2018,7.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PT,2020,9.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,PT,2022,7.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,RO,2018,2.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,RO,2020,3.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,RO,2022,2.5,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,RS,2020,3.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,RS,2022,3.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SE,2018,7.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SE,2020,5.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SE,2022,6.8,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SI,2018,6.5,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SI,2020,8.3,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SI,2022,6.6,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SK,2018,5.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SK,2020,7.4,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,SK,2022,6.7,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,TR,2020,5.1,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,TR,2022,5.2,
ESTAT:ISOC_EB_P3D$DEFAULTVIEW(1.0),05/01/23 11:00:00,A,GE10,C10-S951_X_K,E_RBT,PC_ENT,UK,2020,2.2,
